Idx,Lat,Lon,Model,MAE,RMSE,R2,Zone
0,23.0,74.25,Spline,1712.2866155844156,2584.8017576528637,-1622816.2627067363,Zone-3
0,23.0,74.25,HoltWinters,1.484069325304041,2.293476781990949,-0.2776262730268082,Zone-3
0,23.0,74.25,ARIMA,1.4967502951635128,2.103386801434786,-0.07461630821501197,Zone-3
0,23.0,74.25,RandomForest,2.0225269230770184,2.2443719246064773,-0.22350230802684967,Zone-3
0,23.0,74.25,LSTM,1.4647705078124973,2.1480986542589995,-0.12078828865090285,Zone-3
1,23.0,74.5,Spline,1038.0240494960985,1363.7413672168889,-636971.1928558772,Zone-3
1,23.0,74.5,HoltWinters,1.8782233339185963,2.009681045703309,-0.383281974363439,Zone-3
1,23.0,74.5,ARIMA,2.1777855742377534,2.4192441305655374,-1.0045451229958138,Zone-3
1,23.0,74.5,RandomForest,2.2268444444446294,2.4985965771922167,-1.1382019737118405,Zone-3
1,23.0,74.5,LSTM,1.8753133138020845,2.005285388689269,-0.3772374495973456,Zone-3
2,23.25,73.75,Spline,1685.1826534246297,2342.248112169542,-1020255.862066675,Zone-3
2,23.25,73.75,HoltWinters,3.193576274323925,3.338696514238539,-1.0729919551433134,Zone-3
2,23.25,73.75,ARIMA,2.738145721477545,2.9526964432092764,-0.6213670059461638,Zone-3
2,23.25,73.75,RandomForest,2.2888799999999434,3.146475677484194,-0.8411640533801186,Zone-3
2,23.25,73.75,LSTM,2.8326277465820313,3.027775454113655,-0.7048691690217932,Zone-3
3,23.25,74.0,Spline,1703.6343044844102,2579.8681915005063,-1860195.0662797815,Zone-3
3,23.25,74.0,HoltWinters,1.6069273389972107,1.951590608456566,-0.06448886976518642,Zone-3
3,23.25,74.0,ARIMA,2.45969413986938,2.8944689954251546,-1.3415395066943208,Zone-3
3,23.25,74.0,RandomForest,1.5665692307693069,2.2574897547259467,-0.42434521797948754,Zone-3
3,23.25,74.0,LSTM,1.569316077599163,1.9098545431060103,-0.01944610293047755,Zone-3
4,23.25,74.25,Spline,85.27401288803816,118.71671339399794,-33209.11226388,Zone-3
4,23.25,74.25,HoltWinters,0.8696838607925925,0.9865606272461196,-1.2934758542214908,Zone-3
4,23.25,74.25,ARIMA,0.7501935285732099,0.860888912608047,-0.7463884202475384,Zone-3
4,23.25,74.25,RandomForest,0.7140818181818583,0.8581506545526436,-0.7352964968705724,Zone-3
4,23.25,74.25,LSTM,0.8135893110795471,0.9207234992605512,-0.9975840843189567,Zone-3
5,23.5,73.5,Spline,928.0484925061838,1235.5433657833207,-183841.8369550646,Zone-3
5,23.5,73.5,HoltWinters,2.8135633507502833,3.14892044264218,-0.194136858633859,Zone-3
5,23.5,73.5,ARIMA,2.8073458048107383,3.14800118525719,-0.19343975693273863,Zone-3
5,23.5,73.5,RandomForest,2.7275681818180355,3.2093341291455846,-0.24039668270362302,Zone-3
5,23.5,73.5,LSTM,3.0046131480823832,3.354396013499886,-0.35506270808716844,Zone-3
6,23.5,73.75,Spline,838.4927966478291,1286.5572442106295,-111057.46805667826,Zone-3
6,23.5,73.75,HoltWinters,3.326308967757373,3.857611049574434,0.001540798901424556,Zone-3
6,23.5,73.75,ARIMA,3.52889272585025,3.8082074219443114,0.02695115901959355,Zone-3
6,23.5,73.75,RandomForest,2.668550000000114,2.9331721977393905,0.4227438491259615,Zone-3
6,23.5,73.75,LSTM,3.8236770352450264,3.973804172421287,-0.059513201396813376,Zone-3
7,23.5,74.0,Spline,3536.800334231405,5336.586073612311,-3716059.195420561,Zone-3
7,23.5,74.0,HoltWinters,2.4003351339336936,3.1268772689591517,-0.27578465454797696,Zone-3
7,23.5,74.0,ARIMA,2.035964691058091,2.8580858126619026,-0.0658748910146969,Zone-3
7,23.5,74.0,RandomForest,2.373288461538432,2.931788063458646,-0.12155570271521676,Zone-3
7,23.5,74.0,LSTM,2.735796367938703,2.986147882184718,-0.16353198417944248,Zone-3
8,23.5,74.25,Spline,1442.9993531985126,2180.1768584927822,-2788072.9347064877,Zone-3
8,23.5,74.25,HoltWinters,4.213015395892243,4.556060471534744,-11.175864173776283,Zone-3
8,23.5,74.25,ARIMA,1.6632727534528793,2.106676637444934,-1.6032542937848198,Zone-3
8,23.5,74.25,RandomForest,1.9812730769232085,2.2426562109644532,-1.9501645621282702,Zone-3
8,23.5,74.25,LSTM,1.1175224891075726,1.3463179744103118,-0.06320282841652802,Zone-3
9,23.5,74.5,Spline,3493.6400673696685,5331.329837279242,-5734421.209452003,Zone-3
9,23.5,74.5,HoltWinters,2.282213042078311,2.568509175376216,-0.33100842441352096,Zone-3
9,23.5,74.5,ARIMA,2.1710900248505567,2.4679011545290863,-0.22877985742239226,Zone-3
9,23.5,74.5,RandomForest,1.8704333333333902,2.489454709620105,-0.2503368201646441,Zone-3
9,23.5,74.5,LSTM,2.133134663899739,2.40907593643095,-0.17089928428172407,Zone-3
10,23.5,74.75,Spline,336.69929371255364,441.2357819573488,-82242.56885043978,Zone-3
10,23.5,74.75,HoltWinters,1.7055431497280387,1.9352208429978848,-0.5820549538147965,Zone-3
10,23.5,74.75,ARIMA,1.5720732130019892,1.7620338638603572,-0.31156252927989314,Zone-3
10,23.5,74.75,RandomForest,1.577663636363592,1.8725090317779942,-0.48118171281537436,Zone-3
10,23.5,74.75,LSTM,1.9637331321022822,2.286604729526839,-1.2087303257796158,Zone-3
